,code_num,自选股分类
228,603383,"New,Good_Profit"
229,603387,"ROA,New,Good_Profit"
230,603393,Good_Profit
231,603416,"ROA,Select,Good_Profit"
232,603429,"ROA,Good_Profit"
233,603444,"ROA,Select,New,Good_Profit,ROE_A"
234,603458,Good_Profit
235,603505,Good_Profit
236,603516,"New,Good_Profit"
237,603517,ROA
238,603568,"ROA,New,Good_Profit,ROE_A"
239,603583,"ROA,Good_Profit"
240,603589,"New,ROE_A"
241,603638,"ROA,Good_Profit"
242,603657,"ROA,Good_Profit"
243,603658,"ROA,Select,Good_Profit,ROE_A"
244,603666,"ROA,New,Good_Profit"
245,603693,Select
246,603707,"ROA,Good_Profit"
247,603730,ROA
248,603755,"ROA,Good_Profit"
249,603801,ROA
250,603816,ROA
251,603833,ROA
252,603866,ROA
253,603882,HillHouse
254,603883,Select
255,603886,ROA
256,603899,"ROA,ROE_A"
257,603983,"ROA,Select,Good_Profit"
258,603986,"ROA,Good_Profit"
259,605005,Hold
260,688002,"ROA,Good_Profit"
261,688006,Good_Profit
262,688016,"New,Good_Profit"
263,688020,New
264,688029,"ROA,Good_Profit"
265,688068,Good_Profit
266,688088,"ROA,Good_Profit"
267,688168,"ROA,Good_Profit"
268,688188,"ROA,New,Good_Profit"
269,688333,Good_Profit
270,688388,"ROA,Good_Profit"
271,865069,Good_Profit
272,875008,HK
273,875088,HK
274,875181,HK
275,HK0003,Hold
276,HK0059,ROE+
277,HK0085,港A40
278,HK0098,ROE+
279,HK0106,HK
280,HK0111,"HK,New_HK"
281,HK0132,New_HK
282,HK0152,"Select,HK,New_HK"
283,HK0154,New_HK
284,HK0168,国企指数
285,HK0175,New_HK
286,HK0240,ROE+
287,HK0241,港A40
288,HK0257,"HK,New_HK"
289,HK0268,HK
290,HK0270,HK
291,HK0288,HK
292,HK0291,HillHouse
293,HK0301,ROE+
294,HK0354,港A40
295,HK0358,国企指数
296,HK0371,"Hold,HK,New_HK"
297,HK0384,Hold
298,HK0386,国企指数
299,HK0388,"Hold,ROE+"
300,HK0390,"国企指数,港A40"
301,HK0402,港A40
302,HK0434,Hold
303,HK0436,HK
304,HK0489,国企指数
305,HK0493,港A40
306,HK0510,港A40
307,HK0520,HillHouse
308,HK0570,HK
309,HK0579,港A40
310,HK0583,"HK,New_HK"
311,HK0586,Hold
312,HK0589,ROE+
313,HK0636,HK
314,HK0656,港A40
315,HK0667,"ROE+,HK,New_HK"
316,HK0696,港A40
317,HK0699,港A40
318,HK0700,"ROE+,HK,New_HK"
319,HK0728,国企指数
320,HK0753,国企指数
321,HK0772,"Select,HK"
322,HK0777,港A40
323,HK0788,"HK,HillHouse"
324,HK0799,"Hold,HK"
325,HK0807,HK
326,HK0817,"HK,New_HK"
327,HK0818,港A40
328,HK0819,"ROE+,HK"
329,HK0853,"Select,HillHouse"
330,HK0857,国企指数
331,HK0867,ROE+
332,HK0868,ROE+
333,HK0877,Good_Profit
334,HK0881,ROE+
