,开始时间,持续分钟,盈亏大小,最大净值,结束-最大,最小净值,结束-最小,rsi,cci,rsi_cf1,atr,zuheyinzi,zuheyinzi2
0,2019-01-03 15:01:00,2.0,-26.0,-13.0,13.0,25.0,-1.0,16.244385216730905,178.04154302675784,-4.711201995265299,15.99445419130233,50.04299371070902,101.04299371070903
1,2019-01-04 11:00:00,0.0,-30.0,-26.0,4.0,26.0,-4.0,19.82840263164441,200.96292729898752,-6.678976759660642,28.075142726554905,67.99983808809806,175.99983808809804
2,2019-01-07 09:20:00,10.0,-71.0,17.0,88.0,69.0,-2.0,25.601914875637405,136.84061259218592,1.761098318312989,20.596571087804026,59.88254722266002,229.88254722266004
3,2019-01-07 10:06:00,0.0,-50.0,-49.0,1.0,49.0,-1.0,2.063652480812763,117.46345318056615,-6.805628481404369,35.61686212998896,49.426859928858335,43.426859928858335
4,2019-01-08 10:12:00,1.0,-46.0,-20.0,26.0,44.0,-2.0,11.94263581501636,110.00720740700717,-4.071551688185622,29.915427190238958,52.85878374595603,221.85878374595603
5,2019-01-08 10:41:00,11.0,-26.0,16.0,42.0,25.0,-1.0,13.317008807870053,184.95252008764635,-3.206241635424533,27.834201636962288,59.64646245359698,179.646462453597
6,2019-01-08 13:01:00,1.0,-22.0,-10.0,12.0,22.0,0.0,14.318701510306568,239.21077356724123,-3.688973208919336,14.951629395206263,53.19140826223695,104.19140826223695
7,2019-01-09 09:18:00,98.0,318.0,344.0,26.0,6.0,324.0,38.34981533429594,184.12097124759126,1.5668762364593363,19.86049430829912,76.62240676735419,306.62240676735416
8,2019-01-09 13:25:00,24.0,-27.0,28.0,55.0,26.0,-1.0,22.267972622298615,235.31019404209502,2.425139189969613,14.57086035964264,60.369852386150754,133.36985238615074
9,2019-01-10 11:28:00,1.0,-44.0,-8.0,36.0,41.0,-3.0,18.525445825510673,146.37639230435673,-1.883129107239938,23.322729368357933,56.48581442430428,132.4858144243043
10,2019-01-15 09:42:00,9.0,-33.0,25.0,58.0,31.0,-2.0,12.331472614910133,179.7818181818192,0.13823313361823608,29.823970824403286,60.13362525749534,113.13362525749534
11,2019-01-15 11:01:00,46.0,16.0,87.0,71.0,-12.0,4.0,19.46682336952327,251.58822904493198,2.174188608069869,22.618616959894425,67.24426323391089,161.24426323391089
12,2019-01-17 10:57:00,4.0,-60.0,14.0,74.0,58.0,-2.0,23.496884466753926,142.35490523420933,0.0,25.83237218395013,63.56474717412499,223.564747174125
13,2019-01-18 09:44:00,4.0,-26.0,14.0,40.0,25.0,-1.0,19.429678168063873,165.20126540853386,0.10318734292221166,33.50350479605093,69.45330950496819,153.4533095049682
14,2019-01-21 10:05:00,10.0,-28.0,42.0,70.0,27.0,-1.0,17.022657406333025,271.81710681907754,2.4736393323280765,36.99046264085912,81.19483072909989,189.1948307290999
15,2019-01-23 09:44:00,17.0,-3.0,91.0,94.0,1.0,-2.0,27.064300139092552,311.5010490177448,6.547543769794302,25.249478245524436,83.46388328639146,285.4638832863915
16,2019-01-24 13:48:00,2.0,-30.0,-8.0,22.0,27.0,-3.0,14.086150044828358,220.88709677421033,-3.1760345053793486,14.33115702722957,50.50601674947896,91.50601674947896
17,2019-01-25 09:46:00,10.0,-17.0,73.0,90.0,16.0,-1.0,22.354654897520447,230.57498297951497,0.188651161418818,30.513058041718775,75.92521123719072,257.92521123719075
18,2019-02-01 09:19:00,8.0,-50.0,3.0,53.0,48.0,-2.0,18.122949899338465,139.17109121168738,-3.5807902832974747,18.057085990104724,50.097145010611925,140.09714501061194
19,2019-02-08 11:01:00,8.0,-28.0,13.0,41.0,28.0,0.0,14.248221513854801,194.91833030851828,-5.682696694839976,16.702649521307833,50.442704066014464,77.44270406601447
20,2019-02-08 13:37:00,37.0,-25.0,45.0,70.0,22.0,-3.0,28.94312658518693,166.4629422398135,-1.9862423796422775,13.168243323558515,58.757664132726795,152.7576641327268
21,2019-02-11 14:30:00,110.0,103.0,116.0,13.0,-3.0,100.0,25.230937503103718,242.39896447583303,3.949827639497528,13.18926382747977,62.66009777816679,121.66009777816679
22,2019-02-13 09:57:00,2.0,-33.0,-1.0,32.0,32.0,-1.0,20.07262234946606,219.56656346749938,0.24226427286858154,25.724866658076127,67.75414535429212,137.75414535429212
23,2019-02-13 11:15:00,305.0,76.0,177.0,101.0,1.0,77.0,27.987097805404588,256.6313590929277,3.2678483826654627,19.780759353305914,73.43099306800326,188.43099306800326
24,2019-02-14 11:51:00,256.0,-2.0,101.0,103.0,7.0,5.0,22.53400672609088,354.85304169520714,2.7198858270638766,14.676472775266019,72.69578367087762,143.69578367087763
25,2019-02-18 09:36:00,2.0,-23.0,-4.0,19.0,23.0,0.0,23.65624817503941,205.94804278831313,-0.5762816469864873,26.483068904033026,70.73412135790375,197.73412135790375
26,2019-02-18 09:40:00,1.0,-26.0,20.0,46.0,26.0,0.0,24.867900268663163,132.5199543899632,2.1306648587184895,26.984000132732646,65.10389584039213,247.1038958403921
27,2019-02-19 09:17:00,14.0,-28.0,47.0,75.0,28.0,0.0,14.419619280400113,301.9438444924487,-5.440544147299846,12.650598204034326,57.26460193367931,78.2646019336793
28,2019-02-20 09:17:00,77.0,168.0,215.0,47.0,15.0,183.0,19.38518146867989,252.93085293088885,-6.7103324887975475,15.33988263166067,60.01814939342945,119.01814939342944
29,2019-02-21 10:51:00,185.0,1.0,181.0,180.0,9.0,10.0,14.649635762934494,266.358500256821,2.4546286907281853,20.603001102784653,61.88848689140124,108.88848689140124
