s_time,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5,e_time
2015-01-01 09:15:00,1562.0,1901.0,752.0,2.077127659574468,1.6056134632860934,887.2065170258895,106.0,0.5566037735849056,1.3764762593395998,150.0,200.0,20.0,3.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1549.0,2036.0,1311.0,1.181540808543097,1.5697142626602345,792.4568932534115,164.0,0.5670731707317073,1.229958432304038,150.0,200.0,20.0,3.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1423.0,1499.0,789.0,1.8035487959442331,1.649682186544725,722.3285422777707,91.0,0.5494505494505495,1.3964892727779326,150.0,220.0,20.0,3.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1396.0,1898.0,596.0,2.3422818791946307,1.670795687821456,893.8158143093993,106.0,0.6320754716981132,1.3859552115012441,150.0,200.0,20.0,2.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1394.0,1446.0,696.0,2.0028735632183907,1.2472650829504077,569.8398928708073,88.0,0.5113636363636364,1.4280012281240406,130.0,230.0,20.0,3.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1360.0,2086.0,1087.0,1.25114995400184,1.7570045842921562,829.0000892743273,174.0,0.6379310344827587,1.2272727272727273,150.0,200.0,20.0,2.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1351.0,1403.0,815.0,1.6576687116564417,1.1897779884638227,530.7703226629257,88.0,0.5340909090909091,1.3949137679041215,150.0,230.0,20.0,3.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1304.0,1571.0,773.0,1.6869340232858991,1.4695877625388927,726.0476469838031,106.0,0.5471698113207547,1.3222139856683963,130.0,200.0,20.0,3.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1278.0,1742.0,1091.0,1.1714023831347389,1.3917085078210267,624.7762275219998,142.0,0.5774647887323944,1.2160608622147084,150.0,220.0,20.0,3.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1252.0,1638.0,615.0,2.035772357723577,1.9086466002749154,780.3457849764061,91.0,0.6153846153846154,1.4030907920154538,150.0,220.0,20.0,2.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1250.0,1427.0,818.0,1.528117359413203,1.0982237482909596,488.8067848488713,138.0,0.5434782608695652,1.2293998898880527,130.0,230.0,20.0,3.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1222.0,1274.0,818.0,1.4938875305623471,1.4827190789941844,590.4313607958169,91.0,0.5384615384615384,1.3504445081732148,130.0,220.0,20.0,3.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1220.0,1613.0,773.0,1.5782664941785252,1.563376098435589,713.791722994516,106.0,0.5566037735849056,1.2940467582550013,140.0,200.0,20.0,3.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1214.0,1311.0,470.0,2.5829787234042554,1.5459102034059269,623.1350593036602,88.0,0.5795454545454546,1.4237347294938918,130.0,230.0,20.0,2.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1206.0,1258.0,816.0,1.4779411764705883,1.4472207081056951,565.2020660630021,91.0,0.5604395604395604,1.3307734503565551,150.0,230.0,16.0,3.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1190.0,1412.0,714.0,1.6666666666666667,1.135281471030752,523.0211707690346,116.0,0.5517241379310345,1.2463768115942029,140.0,260.0,16.0,3.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1182.0,1472.0,1041.0,1.1354466858789625,1.1820841810749099,487.8645708455554,135.0,0.562962962962963,1.2126281705342687,150.0,230.0,20.0,3.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1181.0,1251.0,508.0,2.324803149606299,1.3878539881075862,569.3452365769672,75.0,0.5466666666666666,1.4152601969057665,140.0,260.0,16.0,3.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1180.0,1374.0,714.0,1.6526610644257702,1.1762153648559879,517.2741997194236,115.0,0.5478260869565217,1.2487876871178578,150.0,260.0,16.0,3.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1176.0,1582.0,596.0,1.9731543624161074,1.5300741171608505,736.2594184415253,106.0,0.6226415094339622,1.3302443133951136,130.0,200.0,20.0,2.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1175.0,1784.0,887.0,1.3246899661781286,1.352719404377819,735.9292437189134,131.0,0.5343511450381679,1.205311899353486,150.0,250.0,10.0,3.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1173.0,1740.0,1329.0,0.8826185101580135,1.4603448613081087,595.7517153424308,164.0,0.5670731707317073,1.1741389548693586,140.0,200.0,20.0,3.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1168.0,1532.0,638.0,1.8307210031347962,1.4937393655875113,607.5737661012625,145.0,0.6137931034482759,1.2414220752377014,130.0,230.0,20.0,2.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1162.0,1393.0,578.0,2.01038062283737,1.5297506000417376,593.672988139268,88.0,0.6022727272727273,1.392037786774629,150.0,230.0,20.0,2.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,1159.0,1872.0,982.0,1.180244399185336,1.2724695880387553,657.2699273051907,160.0,0.58125,1.1770006108735491,140.0,210.0,16.0,3.0,2.0,2016-01-01 09:15:00
