,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
504,-605.0,381.0,986.0,-0.6135902636916836,-0.581220001192321,-127.03432106671073,38.0,0.7631578947368421,0.652498564043653,50.0,240.0,200.0,0.0
516,-588.0,398.0,986.0,-0.5963488843813387,-0.5200091473998502,-113.77411925098893,38.0,0.7631578947368421,0.6622630672027571,50.0,250.0,200.0,0.0
274,-535.0,36.0,733.0,-0.7298772169167803,-1.833421469693181,-413.2120924179672,18.0,0.7777777777777778,0.3592814371257485,45.0,150.0,300.0,0.0
492,-523.0,339.0,934.0,-0.5599571734475375,-0.7306024514043562,-147.51618450542753,38.0,0.7631578947368421,0.6995979322228605,50.0,230.0,200.0,0.0
298,-515.0,36.0,733.0,-0.7025920873124147,-1.832198718434828,-411.41041199739726,18.0,0.7777777777777778,0.38323353293413176,45.0,170.0,300.0,0.0
286,-515.0,36.0,733.0,-0.7025920873124147,-1.832198718434828,-411.41041199739726,18.0,0.7777777777777778,0.38323353293413176,45.0,160.0,300.0,0.0
310,-502.0,36.0,733.0,-0.684856753069577,-1.8308003142634006,-410.253891201289,18.0,0.7777777777777778,0.39880239520958083,45.0,180.0,300.0,0.0
322,-501.0,36.0,733.0,-0.6834924965893588,-1.8306705888173262,-410.16413794528046,18.0,0.7777777777777778,0.4,45.0,190.0,300.0,0.0
334,-489.0,36.0,733.0,-0.6671214188267395,-1.8288831650826154,-409.08776505097035,18.0,0.7777777777777778,0.41437125748502995,45.0,200.0,300.0,0.0
372,-489.0,413.0,902.0,-0.5421286031042128,-0.36547205856066184,-70.54953987254831,38.0,0.7631578947368421,0.699076923076923,45.0,240.0,200.0,0.0
346,-482.0,36.0,733.0,-0.6575716234652115,-1.8276412548343968,-408.459843422398,18.0,0.7777777777777778,0.4227544910179641,45.0,210.0,300.0,0.0
384,-472.0,430.0,902.0,-0.5232815964523282,-0.2950838038325355,-57.289338056826516,38.0,0.7631578947368421,0.7095384615384616,45.0,250.0,200.0,0.0
358,-465.0,36.0,733.0,-0.6343792633015006,-1.8240120347098567,-406.9351173815598,18.0,0.7777777777777778,0.44311377245508987,45.0,220.0,300.0,0.0
370,-455.0,36.0,733.0,-0.6207366984993179,-1.821470076955313,-406.038302640956,18.0,0.7777777777777778,0.45508982035928147,45.0,230.0,300.0,0.0
521,-454.0,241.0,726.0,-0.6253443526170799,-1.7475949835500053,-256.8092975697421,25.0,0.76,0.4473684210526316,50.0,250.0,250.0,0.0
142,-440.0,36.0,638.0,-0.6896551724137931,-1.7637662482800835,-339.15735222730603,18.0,0.7777777777777778,0.4054054054054054,40.0,150.0,300.0,0.0
394,-422.0,36.0,733.0,-0.5757162346521146,-1.81094146142134,-403.07915121719464,18.0,0.7777777777777778,0.4946107784431138,45.0,250.0,300.0,0.0
382,-422.0,36.0,733.0,-0.5757162346521146,-1.81094146142134,-403.07915121719464,18.0,0.7777777777777778,0.4946107784431138,45.0,240.0,300.0,0.0
166,-420.0,36.0,638.0,-0.658307210031348,-1.7615401101745507,-337.35567180673615,18.0,0.7777777777777778,0.43243243243243246,40.0,170.0,300.0,0.0
154,-420.0,36.0,638.0,-0.658307210031348,-1.7615401101745507,-337.35567180673615,18.0,0.7777777777777778,0.43243243243243246,40.0,160.0,300.0,0.0
500,-418.0,26.0,691.0,-0.6049204052098408,-1.6282115301075737,-357.45336755455946,23.0,0.6521739130434783,0.5777777777777777,50.0,230.0,280.0,0.0
512,-418.0,26.0,691.0,-0.6049204052098408,-1.6282115301075737,-357.45336755455946,23.0,0.6521739130434783,0.5777777777777777,50.0,240.0,280.0,0.0
360,-407.0,371.0,854.0,-0.4765807962529274,-0.519328568591476,-91.03140331126512,38.0,0.7631578947368421,0.7495384615384615,45.0,230.0,200.0,0.0
178,-407.0,36.0,638.0,-0.6379310344827587,-1.7592949169405037,-336.1991510106279,18.0,0.7777777777777778,0.44999999999999996,40.0,180.0,300.0,0.0
190,-406.0,36.0,638.0,-0.6363636363636364,-1.7590924926918732,-336.10939775461935,18.0,0.7777777777777778,0.45135135135135135,40.0,190.0,300.0,0.0
389,-398.0,241.0,720.0,-0.5527777777777778,-1.716831212248287,-245.40555251443385,25.0,0.76,0.4713193116634799,45.0,250.0,250.0,0.0
