,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5,s_time,e_time
25,972.0,1168.0,412.0,2.3592233009708736,1.5341495672406424,555.4336819283254,64.0,0.625,1.413793103448276,60.0,170.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
26,968.0,1151.0,553.0,1.7504520795660037,0.981779545063748,413.76325723759726,75.0,0.6133333333333333,1.405020920502092,50.0,150.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
27,965.0,1156.0,412.0,2.342233009708738,1.4352128335493797,533.8941716617778,64.0,0.625,1.4511453950444133,50.0,160.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
28,962.0,1344.0,556.0,1.7302158273381294,1.7690290735004295,614.7093993113124,118.0,0.6271186440677966,1.2111501316944688,60.0,170.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
29,938.0,1047.0,302.0,3.1059602649006623,1.471896504703657,522.8744165285041,64.0,0.59375,1.426751592356688,60.0,140.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
30,935.0,1240.0,553.0,1.6907775768535263,1.1347157852405931,491.5128044892233,75.0,0.6266666666666667,1.377320419693301,50.0,170.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
31,931.0,1200.0,507.0,1.8362919132149902,1.0145847562442658,425.24147430174725,75.0,0.64,1.4067278287461773,40.0,170.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
32,919.0,1019.0,521.0,1.7639155470249521,1.2313988396787146,410.17173829868636,63.0,0.6190476190476191,1.4088078291814947,50.0,170.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
33,916.0,1111.0,521.0,1.7581573896353166,1.5314774128930204,538.5231348042341,118.0,0.6101694915254238,1.2079455164585697,60.0,140.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
34,908.0,1075.0,507.0,1.7909270216962525,0.9297468517603112,378.2555158780768,75.0,0.64,1.3966797728265619,40.0,160.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
35,904.0,1077.0,560.0,1.6142857142857143,1.3174673018714818,475.1664328529524,118.0,0.6186440677966102,1.2208648912777913,50.0,130.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
36,896.0,1202.0,478.0,1.8744769874476988,1.8598066750262099,601.5668409641627,104.0,0.6442307692307693,1.2750153468385512,40.0,140.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
37,891.0,1149.0,758.0,1.175461741424802,1.2979872452863044,446.96671342940954,118.0,0.635593220338983,1.2099434495758719,50.0,160.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
38,890.0,1109.0,399.0,2.230576441102757,1.1039014014635133,443.3931768907027,75.0,0.6,1.349705304518664,60.0,130.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
39,886.0,1047.0,336.0,2.636904761904762,1.0053674955511573,372.42475449560004,75.0,0.6133333333333333,1.4144059869036483,40.0,120.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
40,882.0,1085.0,553.0,1.5949367088607596,1.0408250562958772,424.7163882157888,75.0,0.6266666666666667,1.3559322033898304,50.0,160.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
41,861.0,993.0,768.0,1.12109375,1.2344280374530887,403.8368447902053,118.0,0.6271186440677966,1.2071703561116458,50.0,150.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
42,830.0,925.0,255.0,3.2549019607843137,1.404241718351231,417.1539216936615,64.0,0.609375,1.4644655847789592,40.0,120.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
43,820.0,929.0,302.0,2.7152317880794703,1.5086204250885265,481.55385792628493,64.0,0.59375,1.373066424021838,60.0,130.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
44,820.0,1003.0,368.0,2.2282608695652173,1.0956557418333923,392.4704757046295,75.0,0.6,1.3523850451224753,50.0,120.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
45,814.0,923.0,414.0,1.9661835748792271,1.387344661453343,425.4515112868257,64.0,0.609375,1.3600176912870412,60.0,150.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
46,811.0,972.0,336.0,2.4136904761904763,1.010340044666708,346.7340772860604,75.0,0.6133333333333333,1.3793264733395696,40.0,110.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
