,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
4667,-3797.0,7.0,3991.0,-0.9513906289150589,-2.7415820401064344,-2417.052730548518,140.0,0.7,0.5204886739628405,75.0,150.0,170.0,1.0
4666,-3797.0,7.0,3991.0,-0.9513906289150589,-2.7415820401064344,-2417.052730548518,140.0,0.7,0.5204886739628405,75.0,150.0,170.0,0.0
4583,-3792.0,7.0,3959.0,-0.957817630714827,-2.7707265797157072,-2524.451259558425,140.0,0.6928571428571428,0.5155767250257467,75.0,130.0,170.0,1.0
4582,-3792.0,7.0,3959.0,-0.957817630714827,-2.7707265797157072,-2524.451259558425,140.0,0.6928571428571428,0.5155767250257467,75.0,130.0,170.0,0.0
4163,-3733.0,7.0,3927.0,-0.9505984211866565,-2.6667648618881334,-2358.661931647129,140.0,0.7142857142857143,0.5202693951560678,70.0,150.0,170.0,1.0
4162,-3733.0,7.0,3927.0,-0.9505984211866565,-2.6667648618881334,-2358.661931647129,140.0,0.7142857142857143,0.5202693951560678,70.0,150.0,170.0,0.0
4079,-3728.0,7.0,3895.0,-0.9571245186136071,-2.6986607223874515,-2466.060460657036,140.0,0.7071428571428572,0.5152666754029617,70.0,130.0,170.0,1.0
4078,-3728.0,7.0,3895.0,-0.9571245186136071,-2.6986607223874515,-2466.060460657036,140.0,0.7071428571428572,0.5152666754029617,70.0,130.0,170.0,0.0
4540,-3716.0,7.0,3870.0,-0.9602067183462533,-2.514832242549972,-2356.9349864989417,140.0,0.6928571428571428,0.5253604531410916,75.0,120.0,170.0,0.0
4541,-3716.0,7.0,3870.0,-0.9602067183462533,-2.514832242549972,-2356.9349864989417,140.0,0.6928571428571428,0.5253604531410916,75.0,120.0,170.0,1.0
4077,-3692.0,53.0,3946.0,-0.9356310187531678,-2.30759645681078,-2206.6443409028802,147.0,0.7142857142857143,0.5348311786117735,70.0,130.0,160.0,1.0
4076,-3692.0,53.0,3946.0,-0.9356310187531678,-2.30759645681078,-2206.6443409028802,147.0,0.7142857142857143,0.5348311786117735,70.0,130.0,160.0,0.0
3070,-3670.0,7.0,3752.0,-0.9781449893390192,-2.524337503947656,-2279.32444224187,141.0,0.7375886524822695,0.4813621076233184,60.0,130.0,170.0,0.0
3071,-3670.0,7.0,3752.0,-0.9781449893390192,-2.524337503947656,-2279.32444224187,141.0,0.7375886524822695,0.4813621076233184,60.0,130.0,170.0,1.0
4709,-3658.0,7.0,3852.0,-0.9496365524402908,-2.794200199144168,-2356.5711295036335,140.0,0.7,0.5381776533469076,75.0,160.0,170.0,1.0
