,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
3753,-2405.0,436.0,2943.0,-0.8171933401291199,-1.4943890009663932,-1116.4977513674742,102.0,0.6666666666666666,0.5276553106212425,70.0,160.0,210.0,45.0
3745,-2383.0,356.0,2973.0,-0.8015472586612848,-1.5831149937981348,-1277.5833846666883,110.0,0.6727272727272727,0.5828811482583581,70.0,160.0,200.0,35.0
3747,-2379.0,436.0,3131.0,-0.759821143404663,-1.7972312611316135,-1353.7094192460713,107.0,0.6728971962616822,0.5566755420311905,70.0,160.0,200.0,45.0
3903,-2362.0,472.0,3126.0,-0.7555982085732565,-1.763479686686263,-1324.4098578567823,107.0,0.6728971962616822,0.5599087105363256,70.0,180.0,200.0,45.0
3825,-2339.0,442.0,3073.0,-0.7611454604620892,-1.8106528566485054,-1324.1367288996753,107.0,0.6728971962616822,0.5642829973373906,70.0,170.0,200.0,45.0
3909,-2337.0,472.0,2911.0,-0.8028169014084507,-1.456764516033884,-1069.0788758226845,102.0,0.6666666666666666,0.5412825651302605,70.0,180.0,210.0,45.0
3831,-2333.0,442.0,2877.0,-0.81091414668057,-1.4997683536552295,-1081.1200042610544,102.0,0.6666666666666666,0.5420841683366734,70.0,170.0,210.0,45.0
3823,-2314.0,372.0,2920.0,-0.7924657534246575,-1.5777177234623578,-1240.6315855290886,110.0,0.6727272727272727,0.5939638533075978,70.0,170.0,200.0,35.0
3981,-2293.0,483.0,3068.0,-0.7473924380704041,-1.7514669261959592,-1277.545169492703,107.0,0.6728971962616822,0.5730315709395207,70.0,190.0,200.0,45.0
2964,-2285.0,450.0,2978.0,-0.767293485560779,-1.8065089219226103,-1337.2788999069053,108.0,0.7222222222222222,0.5749246987951807,60.0,170.0,200.0,30.0
3987,-2268.0,483.0,2853.0,-0.7949526813880127,-1.4326061902883847,-1022.2141874586052,102.0,0.6666666666666666,0.5551102204408818,70.0,190.0,210.0,45.0
2887,-2245.0,370.0,2846.0,-0.7888264230498946,-1.8493470584880685,-1368.9516277691064,110.0,0.7090909090909091,0.5795880149812734,60.0,160.0,200.0,35.0
2031,-2229.0,436.0,3004.0,-0.7420106524633822,-1.4776256994424415,-1209.1567790133806,108.0,0.7222222222222222,0.5274538901844393,50.0,160.0,200.0,45.0
2187,-2225.0,472.0,3012.0,-0.7387118193891102,-1.4420597343210129,-1185.2026594537513,108.0,0.7222222222222222,0.5283018867924528,50.0,180.0,200.0,45.0
3979,-2210.0,401.0,2821.0,-0.783410138248848,-1.5501583313974516,-1166.4526768221797,110.0,0.6727272727272727,0.6122126688892788,70.0,190.0,200.0,35.0
4059,-2205.0,496.0,2993.0,-0.7367190110257267,-1.765653037366523,-1235.9800008336845,107.0,0.6728971962616822,0.5897679726131609,70.0,200.0,200.0,45.0
2109,-2202.0,442.0,2959.0,-0.7441703278134505,-1.4798529800127813,-1184.9295304966445,108.0,0.7222222222222222,0.5331778672885309,50.0,170.0,200.0,45.0
3901,-2188.0,430.0,2852.0,-0.7671809256661991,-1.520682218438672,-1153.5244477997676,110.0,0.6727272727272727,0.6160729952623267,70.0,180.0,200.0,35.0
3822,-2187.0,450.0,2876.0,-0.7604311543810849,-1.5897655110875315,-1175.4144107008044,108.0,0.6759259259259259,0.6089082020640956,70.0,170.0,200.0,30.0
4137,-2183.0,518.0,2993.0,-0.7293685265619779,-1.734662833987166,-1214.0473440199344,107.0,0.6728971962616822,0.5939520730315709,70.0,210.0,200.0,45.0
2965,-2176.0,386.0,2793.0,-0.7790905836018618,-1.8471008290779583,-1331.9998286315067,110.0,0.7090909090909091,0.591438227562899,60.0,170.0,200.0,35.0
2265,-2168.0,483.0,2966.0,-0.7309507754551584,-1.4202662403921773,-1143.2721655882804,108.0,0.7222222222222222,0.5403858384566462,50.0,190.0,200.0,45.0
3042,-2166.0,480.0,2889.0,-0.7497403946002077,-1.7509730397710157,-1254.0822151925117,108.0,0.7222222222222222,0.5973268072289156,60.0,180.0,200.0,30.0
4215,-2164.0,537.0,2993.0,-0.7230203808887404,-1.707669708800149,-1195.071715398617,107.0,0.6728971962616822,0.5975656143020159,70.0,220.0,200.0,45.0
4065,-2153.0,496.0,2751.0,-0.7826245001817521,-1.4298518393582533,-963.1500122736894,102.0,0.6666666666666666,0.5781563126252505,70.0,200.0,210.0,45.0
3751,-2147.0,354.0,2767.0,-0.7759306107697868,-1.4583448778207775,-1041.9528829275296,105.0,0.6476190476190476,0.5996643669587917,70.0,160.0,210.0,35.0
4057,-2140.0,414.0,2764.0,-0.7742402315484804,-1.5471813077208205,-1133.4861724152304,110.0,0.6727272727272727,0.6244955255307948,70.0,200.0,200.0,35.0
4143,-2131.0,518.0,2751.0,-0.7746274082151945,-1.3975321452413283,-941.2173554599391,102.0,0.6666666666666666,0.582565130260521,70.0,210.0,210.0,45.0
2343,-2118.0,496.0,2929.0,-0.7231136906794128,-1.4142949027304756,-1117.3317601396884,108.0,0.7222222222222222,0.5509857960568157,50.0,200.0,200.0,45.0
2886,-2113.0,444.0,2964.0,-0.7128879892037787,-1.8612276045841676,-1351.3266468743777,108.0,0.7129629629629629,0.6064150943396226,60.0,160.0,200.0,30.0
3829,-2106.0,365.0,2737.0,-0.7694556083302886,-1.4459403787142953,-1018.0204391665008,105.0,0.6476190476190476,0.6062815479528884,70.0,170.0,210.0,35.0
3746,-2105.0,354.0,2822.0,-0.7459248759744862,-1.6669667781406532,-1132.3435891973006,107.0,0.6542056074766355,0.5952701403576236,70.0,160.0,200.0,40.0
4221,-2104.0,537.0,2743.0,-0.7670433831571273,-1.3671638317325772,-917.0568758134214,102.0,0.6666666666666666,0.5879759519038076,70.0,220.0,210.0,45.0
2421,-2096.0,518.0,2929.0,-0.7156025947422329,-1.3867296385227634,-1095.3991033259383,108.0,0.7222222222222222,0.5556497774008904,50.0,210.0,200.0,45.0
