s_time,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5,e_time
2015-01-01 09:15:00,984.0,1097.0,525.0,1.8742857142857143,0.8204957168604656,334.52887386812904,75.0,0.6133333333333333,1.4367509986684421,40.0,150.0,260.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,975.0,1070.0,266.0,3.6654135338345863,1.230154550972333,447.67098584364237,64.0,0.65625,1.5645628257093227,30.0,150.0,270.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,964.0,1140.0,600.0,1.6066666666666667,1.117376675737643,445.1385920163244,117.0,0.6068376068376068,1.2253916296469487,50.0,140.0,260.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,951.0,1127.0,452.0,2.103982300884956,1.5949742312888824,527.7757939038388,107.0,0.6822429906542056,1.3171057019006336,30.0,150.0,270.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,928.0,1015.0,336.0,2.761904761904762,0.9705070067724638,361.96077030990944,75.0,0.6266666666666667,1.478597215059309,30.0,120.0,260.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,880.0,1062.0,443.0,1.9864559819413092,1.6642671394787365,528.9264507078179,107.0,0.6728971962616822,1.2997275204359673,30.0,130.0,270.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,878.0,1041.0,363.0,2.418732782369146,1.246824331473223,446.3867491391404,72.0,0.6527777777777778,1.4206995687589843,30.0,140.0,260.0,14.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,876.0,989.0,358.0,2.446927374301676,0.974222329433047,339.6512434638439,75.0,0.6,1.4,40.0,120.0,260.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,863.0,998.0,445.0,1.939325842696629,1.48371424986746,448.95311822471626,75.0,0.5733333333333334,1.352388730093916,50.0,120.0,260.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,817.0,1152.0,502.0,1.6274900398406376,1.898854682535385,563.9187603621987,104.0,0.6442307692307693,1.2448306862451304,40.0,140.0,270.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,788.0,984.0,600.0,1.3133333333333332,1.0635521544349933,364.5381201377375,117.0,0.6068376068376068,1.1842412906242694,50.0,130.0,260.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,783.0,946.0,363.0,2.15702479338843,1.2613102763990456,407.26568039790845,72.0,0.6527777777777778,1.3751796837565884,30.0,130.0,260.0,14.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,775.0,884.0,306.0,2.5326797385620914,2.129039198223863,516.1930110955235,64.0,0.578125,1.371168582375479,50.0,120.0,270.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,772.0,954.0,443.0,1.742663656884876,1.679962585455936,478.5033159035837,107.0,0.6635514018691588,1.267220491519557,30.0,120.0,270.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,758.0,858.0,598.0,1.2675585284280937,1.7193109541388327,391.59824002040557,63.0,0.5873015873015873,1.3374888691006235,50.0,150.0,270.0,18.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,754.0,849.0,237.0,3.181434599156118,1.4129974432372934,388.9375717382987,64.0,0.640625,1.4531249999999998,30.0,120.0,270.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,753.0,848.0,271.0,2.7785977859778597,1.4161985353096513,381.3793138630277,64.0,0.609375,1.4039699570815452,40.0,120.0,270.0,16.0,1.0,2016-01-01 09:15:00
2015-01-01 09:15:00,748.0,885.0,808.0,0.9257425742574258,0.9330423000279183,296.15926539982144,117.0,0.6153846153846154,1.1723502304147466,50.0,150.0,260.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,724.0,1048.0,502.0,1.4422310756972112,1.9401918411103563,489.4265144751945,104.0,0.6538461538461539,1.2129411764705882,40.0,150.0,270.0,16.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,700.0,832.0,504.0,1.3888888888888888,2.0000047156826275,437.26422650172174,107.0,0.6822429906542056,1.2324809033543673,30.0,150.0,270.0,18.0,2.0,2016-01-01 09:15:00
2015-01-01 09:15:00,669.0,929.0,369.0,1.8130081300813008,1.6949333891188938,490.44493049355947,63.0,0.6825396825396826,1.363784665579119,30.0,140.0,270.0,14.0,1.0,2016-01-01 09:15:00
